"Year","SF","SF_CF","MF","MF_CF","SingleFamilyDiff","MultifamilyDiff"
1986,1179.5,1182.80131574887,625.9,622.598684251131,-3.30131574886877,3.30131574886866
1987,1146.3,1052.26426866428,474.3,568.335731335719,94.0357313357188,-94.0357313357187
1988,1081.4,956.229235043228,406.6,531.770764956772,125.170764956772,-125.170764956772
1989,1003.4,885.057254413233,372.7,491.042745586767,118.342745586767,-118.342745586767
1990,894.9,804.594491491657,297.7,388.005508508343,90.3055085083428,-90.3055085083427
1991,840.4,705.69857140474,173.6,308.30142859526,134.70142859526,-134.70142859526
1992,1030.1,841.534043216954,169.5,358.065956783046,188.565956783046,-188.565956783046
1993,1125.6,897.886526030079,162.1,389.813473969921,227.713473969921,-227.713473969921
1994,1198.4,977.442360428239,258.6,479.557639571761,220.957639571761,-220.957639571761
1995,1076.3,906.938296631895,277.9,447.261703368105,169.361703368105,-169.361703368105
1996,1161,979.248700220919,315.9,497.651299779081,181.751299779081,-181.751299779081
1997,1133.6,969.282931508216,340.4,504.717068491784,164.317068491784,-164.317068491784
1998,1271.4,1046.24996984878,345.6,570.750030151225,225.150030151225,-225.150030151225
1999,1302.5,1035.3880690112,338.7,605.811930988797,267.111930988797,-267.111930988797
2000,1230.9,940.233686174615,337.7,628.366313825385,290.666313825385,-290.666313825385
2001,1273.2,963.997607909138,329.7,638.902392090862,309.202392090862,-309.202392090862
2002,1358.5,1015.13396327958,346.5,689.866036720419,343.366036720419,-343.366036720419
2003,1499.1,1093.09384679405,348.6,754.606153205953,406.006153205953,-406.006153205953
2004,1610.5,1134.48589341469,345.1,821.114106585309,476.014106585309,-476.014106585309
2005,1715.8,1183.39192052743,352.3,884.708079472571,532.408079472571,-532.408079472571
2006,1465.3,1012.88472856652,335.6,788.015271433481,452.415271433481,-452.415271433481
2007,1046.1,756.310032422198,309,598.789967577802,289.789967577802,-289.789967577802
2008,622,504.562519817372,283.5,400.937480182628,117.437480182628,-117.437480182628
2009,445,315.633093281052,108.9,238.266906718948,129.366906718948,-129.366906718948
2010,471.1,323.803699436305,115.8,263.096300563695,147.296300563695,-147.296300563695
2011,430.5,328.627342644064,178.3,280.172657355936,101.872657355936,-101.872657355936
2012,535.3,420.574977824561,245.3,360.025022175439,114.725022175439,-114.725022175439
2013,617.7,487.07991228957,307.2,437.82008771043,130.62008771043,-130.62008771043
2014,647.8,524.456657164614,355.5,478.843342835386,123.343342835386,-123.343342835386
2015,714.6,570.429637224056,397.3,541.470362775944,144.170362775944,-144.170362775944
2016,781.5,592.795508727508,392.2,580.904491272492,188.704491272492,-188.704491272492
2017,848.9,579.957406529359,354,622.942593470641,268.942593470641,-268.942593470641
2018,875.7,580.516715583068,374.3,669.483284416932,295.183284416932,-295.183284416932
